"Test Case ID","Workstream","Phase","Priority","Environment(s)","Title","Category/Tag","Objective","Steps (Action => Expected)","Pass/Fail Criteria","Suite File"
"TC-P1-11","WS1","1","P1","One-time + PROD (member count)","Links, references, and glossary consistency","","","Follow every `[...](...)` link in Phase 1 => All resolve (Introduction, Glossary, ClientMemCount.sql, Env Variables) | Confirm every defined term (Tenant, Tier, Single/Multi-Tenant, etc.) exists in Glossary => All present and non-contradictory | Confirm Completion Checklist items map to Steps 1–2 outputs => Each deliverable traceable","No broken links, no undefined/contradictory terms.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase01_GatherClientAndAWSAccountInfo.md"
"TC-SQL-01","WS1","SQL (Phase 1)","P1","PROD (read-only)","Golden client returns verified count","CRITICAL — Accuracy","Query result matches the independently verified member count for the golden client.","Set `purchaser_gid = <GOLD>`; run on PROD => Executes without error | `SELECT COUNT(*) FROM #temp_member_search` => Equals GOLD expected count | Compare to independent source (NBI/prior audit) => Match within agreed tolerance (ideally exact)","Count matches verified figure. Mismatch = Fail (S1).","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-SQL-02","WS1","SQL (Phase 1)","P1","PROD (read-only)","No duplicate members inflate the count","Distinctness","`contact_relation_gid` is distinct despite multiple coverage rows per member.","`SELECT COUNT(*) , COUNT(DISTINCT contact_relation_gid) FROM #temp_member_search` => Both equal | Confirm `GROUP BY cm.contact_relation_gid` collapses multi-coverage members => One row per member","No duplicates. (The `GROUP BY` should guarantee this — verify it actually does given the multi-join fan-out.)","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-SQL-03","WS1","SQL (Phase 1)","P1","PROD (read-only)","Total vs Active count clarified","CRITICAL — Definition gap G2","Phase 1 asks to record **both total and active** counts, but this query returns ONE number filtered by `record_status='A'` on every join. Verify what the number actually represents.","Determine semantics of `record_status='A'` => 'A' = row is active/not-deleted, NOT member coverage status | Check whether termed (coverage-ended) members are included => Per header intent, termed-but-resident members SHOULD be counted | Confirm whether a separate ""active members"" figure exists => If none → **defect**: query provides total only; ""active count"" undefined","Semantics documented; if no active-only query exists, raise defect against Phase 1 / SQL (gap G2). Do not guess the active figure.","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-SQL-04","WS1","SQL (Phase 1)","P1","PROD (read-only)","Termed members are counted","Inactive inclusion","Validate the header claim that inactive/termed members still in Windward are included.","Run for TERMED profile (members termed but data resident) => Count > 0 | Cross-check a known termed member appears in `#temp_member_search` => Present","Termed-but-resident members included as intended. (Note: if `record_status='A'` joins exclude them, this contradicts the header — raise defect.)","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-SQL-05","WS1","SQL (Phase 1)","P1","PROD (read-only)","Count feeds correct Tier","Boundary → Tier handoff","The produced count maps to the Tier rule (link to `TC-P1-07`).","Take query count and apply Tier rule => >=1M→T1, >=100K→T2, <100K→T3 | Verify count near a Tier boundary classifies correctly => Correct Tier","Count → Tier mapping correct.","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-SQL-06","WS1","SQL (Phase 1)","P1","PROD (read-only)","Nonexistent purchaser_gid","Negative","","Set `purchaser_gid = 999999999`; run => 0 rows; no error | Operator interprets 0 correctly => Recognized as ""no members / wrong gid"", not Tier 3 by default","Empty result handled and interpreted, not silently taken as a real count.","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-SQL-07","WS1","SQL (Phase 1)","P1","PROD (read-only)","Read-only, no side effects","Safety / non-destructive","Verify the script only creates a temp table and reads; it must not alter production data.","Review statements => Only `DROP TABLE IF EXISTS #temp_member_search` (session temp) + `SELECT ... INTO #temp` | Confirm `#temp_member_search` is session-scoped (single `#`) => Yes — no global/permanent table impact | Run with read-only credentials => Succeeds; no write to base tables","No production data modified; temp table is session-scoped.","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-SQL-08","WS1","SQL (Phase 1)","P1","PROD (read-only)","Re-run yields identical count","Repeatability","","Run twice in succession for GOLD => Identical counts (barring real-time enrollment changes) | Confirm `DROP TABLE IF EXISTS` makes the script safely re-runnable in one session => No ""object exists"" error on re-run","Deterministic and re-runnable.","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-SQL-09","WS1","SQL (Phase 1)","P1","PROD (read-only)","Instructions are followable","Usability/Doc","","Follow header instructions (replace gid, run on PROD, new-client note) => Clear and sufficient | Note: header says ""Replace 'purchaser_gid'"" but code hardcodes `p.purchaser_gid = 86319` => **Defect**: instruction/code mismatch — the literal to replace is the numeric value, not a placeholder named `purchaser_gid`","Operator can run it unaided; doc/code mismatch logged as minor defect.","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-SQL-10","WS1","SQL (Phase 1)","P1","PROD (read-only)","Runs within acceptable window on PROD","Performance sanity","","Time execution for a large (Tier 1) client => Completes within agreed window; no PROD impact | Confirm no table locks/blocking on base tables => Read-only, minimal footprint","Acceptable runtime, no production disruption.","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"TC-P2-01","WS1","2","P2","ServiceNow request","ServiceNow navigation path is correct","","Verify the request is raised via the documented catalog path.","Service Catalog → ""Are you requesting something new?"" → Infrastructure Request => Form opens | Type of Request = ""Cloud Request"" => Selected | Cloud Provider = ""AWS"" => Selected | Short Description = ""AWS Accounts Request"" => Entered","Correct catalog item and field selections reached.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"TC-P2-02","WS1","2","P2","ServiceNow request","All REF[] placeholders replaced with Env Variables values","CRITICAL — Data","Verify every `REF[]` token in the Additional Comments table is replaced with the matching Column C value; **no placeholder remains**.","Paste the 11-row request table into Additional Comments => Table present | Replace each REF[] (AWS Accounts, Cost Center, Environment, Environment Prefix, Primary Owner, Secondary Owner, Support Group, Account Type, Application (CMDB), ATG, New/Existing role) => All replaced | Search the comment for the literal string ""REF["" => Zero matches","No unresolved `REF[]` remains. Any leftover = Fail (S2).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"TC-P2-03","WS1","2","P2","ServiceNow request","AWS Accounts / Environment / Environment Prefix expanded as separate columns","Multi-value fields","Verify multi-value fields (spreadsheet Columns C–F) are entered as separate columns per the example, not collapsed into one cell.","Identify DEV/QAR/PROD/HFX values for AWS Accounts, Environment, Environment Prefix => All values listed | Render each as its own column in the request table => Matches `aws-account-request-details.png` example","Multi-value fields expanded correctly and completely.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"TC-P2-04","WS1","2","P2","ServiceNow request","Ticket content matches Env Variables exactly","Data validation","Verify no discrepancy between ticket values and spreadsheet (Instruction #7).","Compare each ticket value to spreadsheet Column C–F => Character-for-character match | Confirm no extra/missing fields => All 11 keys present","Zero discrepancies before submission.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"TC-P2-05","WS1","2","P2","ServiceNow request","Ticket submitted and routed to Cloud Infra","","","Click ""Order Now"" => Ticket created with a number | Confirm work routes to Cloud Infra (Erik / mgr Kenneth Holton) => Assignment correct | Record ticket number for Phase 2.1 reference => Captured","Ticket submitted, numbered, and routed correctly.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"TC-P2-06","WS1","2","P2","ServiceNow request","Phase 1 incomplete blocks Phase 2","Negative","","Attempt Phase 2 with missing/blank Env Variables values => Cannot complete — REF[] values unavailable","Phase correctly blocked when prerequisite incomplete.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"TC-P2-07","WS1","2","P2","ServiceNow request","Accounts created and documented post-resolution","Handoff outcome","Verify the completion-checklist hand-off: after ticket Resolved, accounts exist and Account ID/IAM Role are documented in Env Variables by Cloud Infra (filter Column A = ""AWS Account"").","After ticket Resolved, check Env Variables Column A filtered to ""AWS Account"" => Account ID & IAM Role populated for all envs | Confirm accounts exist in AWS => Validated in Phase 2.1","Accounts created and documented; otherwise re-engage Cloud Infra. (Detailed account/naming validation lives in `TC_Phase02.1`.)","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"TC-P2-08","WS1","2","P2","ServiceNow request","Links, image, and Jira-vs-ServiceNow note","Static","","Confirm `aws-account-request-details.png` present => Exists | Follow Env Variables link => Resolves | Note: playbook states ServiceNow is preferred over Jira going forward => Operator uses ServiceNow (not the legacy Jira backlog)","No broken links/images; operator uses the correct (ServiceNow) channel.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"TC-P2.1-01","WS1","2.1","P2","DEV/QAR/PROD/HFX","SailPoint request for ""AWS Development"" role","","Verify the access request is raised correctly and references the Phase 2 ticket.","Open DQ SailPoint (Okta tile) → Request Center => Request Center loads | Search ""AWS Development"" role => Role found | Add comment with Tenant Name + Phase 2 ticket number/link => Comment saved | Submit request => Request submitted; pending approval","Correct role requested with required comment/ticket reference.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P2.1-02","WS1","2.1","P2","DEV/QAR/PROD/HFX","Wrong/ambiguous role selection is caught","Negative","Verify operator can identify the correct role despite SailPoint naming ambiguity (per Common Issues).","Search roles; observe unclear names => Ambiguity reproduced | Escalate to InfoSec (Jamie Smith) per documented resolution => ""AWS Development"" confirmed as correct role","Operator lands on the correct role; resolution path works.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P2.1-03","WS1","2.1","P2","DEV/QAR/PROD/HFX","Login to AWS landing account via Okta Federation","","","After approval, open Okta → AWS Account Federation tile => Lands in default/landing account (NOT client account) | Confirm dev/qar/stage roles visible => Roles listed | Select a role (e.g., aws-oktaSSO-windward-devrole) → Sign in => AWS Console Home loads","Successful login; operator understands landing ≠ client account.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P2.1-04","WS1","2.1","P2","DEV/QAR/PROD/HFX","PROD account may require separate InfoSec request","Negative","Verify the documented exception that PROD may need a separate account/request.","Attempt to reach PROD role from landing page => If absent, operator contacts InfoSec for separate PROD account","PROD access gap recognized and routed correctly (gap G6).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P2.1-05","WS1","2.1","P2","DEV/QAR/PROD/HFX","Region pinned to us-east-1 before any action","CRITICAL","Verify region is set to us-east-1 first (playbook: ""DO NOT skip this step"").","Check region selector => Shows us-east-1 (or operator switches to it) | Proceed only after region confirmed => All subsequent validation in us-east-1","Region is us-east-1 before switching roles. Wrong region = Fail.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P2.1-06","WS1","2.1","P2","DEV/QAR/PROD/HFX","Switch Role into the client account","","","Top-right account dropdown → Switch Role => Switch Role form opens | Paste Account ID + IAM role from Env Variables for the target env => Values entered; optional fields blank | Click Switch Role => Top-right shows new client account name + ID","Switch succeeds into the correct client account.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P2.1-07","WS1","2.1","P2","DEV/QAR/PROD/HFX","Account naming convention matches Env Variables","Data/Naming validation, CRITICAL","Verify created accounts match the Environment Variables `Key` column `REF[AWS Accounts]` naming convention.","Read account name shown in AWS top-right => Matches the expected generated name in Env Variables | Confirm Account ID = 12 digits and matches spreadsheet => Exact match | Confirm IAM role name matches the env (devrole/qarrole/etc.) => Exact match","Account name, ID, and role match the spreadsheet exactly. Any mismatch = Fail (route to Cloud Infra/InfoSec).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P2.1-08","WS1","2.1","P2","DEV/QAR/PROD/HFX","Validate ALL environments (DEV, QAR, PROD, HFX)","","Verify the switch-and-validate procedure is repeated for every environment.","For each of DEV, QAR, PROD, HFX: close console, re-open Federation tile, pick the env role, sign in => Lands in correct env landing | Repeat region check + switch role + naming validation (TC-05..07) => Each env validated | Confirm none missing => All four accounts exist & valid","All four environments validated with correct naming. Missing env = Fail (gap → Cloud Infra).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P2.1-09","WS1","2.1","P2","DEV/QAR/PROD/HFX","Missing or mis-named account is detected and routed","Negative","","Encounter a missing account or wrong naming => Detected during validation | Follow documented escalation => Contact Cloud Infra (Erik/Lindsay) or InfoSec (Jamie Smith)","Issue detected and escalated per playbook (not silently passed).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P2.1-10","WS1","2.1","P2","DEV/QAR/PROD/HFX","Screenshots & links present and current","","","Confirm referenced images exist (aws-landing, console-home-page, us-east-1, switch-role-dropdown, accountid-iamrole, switch-success-2, account-confirm, aws-landing-qar) => All present | Follow Phase 2 / Env Variables links => Resolve correctly","No missing screenshots or broken links.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"TC-P3-01","WS1","3","P2","DEV/QAR/PROD/HFX","User Story created with correct title, Tier-referenced description, links","","","Create story in the client's Jira backlog => Story created | Title = ""Tenant AWS Provisioning - <Tenant Name>"" (from Env Variables) => Exact format, real tenant name (no `REF[]`) | Description references **Tier from Phase 1** and links: architecture folder, windward-1.0, windward-2.0, Env Variables, Costing.xls => All present and resolve | Acceptance Criteria matches playbook wording (server setup complete, names/IPs documented, validated) => Present | Assign to Cloud Infra (Erik / mgr David DiPerna) => Assigned","Ticket complete, Tier correct, links resolve, assigned correctly.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3-02","WS1","3","P2","DEV/QAR/PROD/HFX","Wrong Tier referenced → wrong architecture sizing","Negative","","Cross-check Tier in ticket vs Phase 1 Env Variables => Identical | Inject a mismatched Tier (e.g., Tier 2 for a Tier 3 client) => Caught in review before assignment","Tier in ticket always equals Phase 1 Tier (drives server list).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3-03","WS1","3","P2","DEV/QAR/PROD/HFX","Validate per environment in DEV→QAR→PROD→HFX order","Sequential order","Verify the documented provisioning/validation order is honored (DEV validated & approved before QAR provisioned, etc.).","Validate DEV first => DEV validated before QAR appears | Proceed only after each env approved => Order preserved through HFX","Environments validated strictly in sequence.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3-04","WS1","3","P2","DEV/QAR/PROD/HFX","All servers exist with correct naming per Env Variables","CRITICAL — Naming","","AWS Console → EC2 → Instances (running) => Instance list loads | Compare running instances to the expected server list for the Tier (architecture + Env Variables tab) => Every expected server present | Verify each server name matches the naming convention exactly => All match | Confirm no missing and no unexpected extra servers => Set matches expected","Full server set present with correct names. Missing/misnamed = Fail → Cloud Infra.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3-05","WS1","3","P2","DEV/QAR/PROD/HFX","Server names & IPs documented in Env Variables by Cloud Infra","","","Open client tab in Env Variables => Server names + IPs populated | Cross-check against AWS console => Consistent","Documentation complete and matches AWS.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3-06","WS1","3","P2","DEV/QAR/PROD/HFX","Missing component / wrong naming is logged and escalated","Negative","","Encounter missing/misnamed server => Logged as issue | Escalate to Cloud Infra (Erik/Lindsay) => Routed correctly","Issue detected and escalated, not passed.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3-07","WS1","3","P2","DEV/QAR/PROD/HFX","Incomplete ""Connect to AWS server"" step","Documentation defect","Flag that Step 2.3.d is an unfinished `TODO` (""Add steps here for Connect to AWS server"").","Attempt to follow Step 2.3.d => No instructions present → cannot execute","Gap confirmed and logged (defect D-P3-1); connect-to-server validation deferred until authored. Scope note acknowledged: detailed functional/LB/connectivity testing is out of this phase (separate testing playbook).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"TC-P3.1-01","WS1","3.1","P3","DEV/QAR/PROD/HFX","Kerberos architecture documentation link is present and correct","","","Confirm Description includes the `/architecture/kerberos-setup` link (not just generic arch) => Present & resolves","Kerberos-specific doc linked.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.1_KerberosSetup.md"
"TC-P3.1-02","WS1","3.1","P3","DEV/QAR/PROD/HFX","Kerberos configured AND validated by Kerberos Team","Hand-off outcome","","Await Jira ticket → Done or completion comment => Kerberos Team confirms configured + validated | Confirm all three Outputs evidenced (ticket w/ link & assignment; configured; validated) => Yes","Configuration and validation both confirmed by Kerberos Team (note: this phase delegates validation entirely to that team — SQA verifies the confirmation exists).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.1_KerberosSetup.md"
"TC-P3.2-01","WS1","3.2","P3","DEV/QAR/PROD/HFX","LB, alias, and listener details documented in Env Variables","Data","","After setup, inspect client tab for load balancer, alias, listener entries => All present, accurate, complete | Both Infra and App & Network teams confirm sufficiency for Phase 3.3 => Confirmed","LB/alias/listener details complete (gates Phase 3.3 cert work).","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"TC-P3.2-02","WS1","3.2","P3","DEV/QAR/PROD/HFX","DNS CNAME configured for ALL servers and load balancers","CRITICAL","","Enumerate every server + LB requiring an alias => Complete list | Confirm a CNAME exists and resolves for each => All resolve to correct target | Confirm branded/user-friendly names map correctly (not raw AWS endpoints) => Correct mapping","Every server/LB has a working CNAME.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"TC-P3.2-03","WS1","3.2","P3","DEV/QAR/PROD/HFX","DNS change connectivity issue is handled","Negative / rollback","","Simulate/observe a bad CNAME or timing issue => Connectivity issue detected | App & Network Team investigates and rolls back if needed => Rollback path works (per Common Issues)","Rollback/troubleshooting procedure is effective.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"TC-P3.2-04","WS1","3.2","P3","DEV/QAR/PROD/HFX","DNS CNAME change submitted via ServiceNow","Change control","","Confirm DNS CNAME change went through a ServiceNow Change Request => CR exists; approver = Steven DePietro","DNS changes are change-controlled, not ad hoc.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"TC-P3.3-01","WS1","3.3","P2","DEV/QAR/PROD/HFX","Cert work blocked until LB/alias details confirmed","Dependency gate","","Attempt cert setup with LB/alias details missing/incomplete => Blocked — prerequisite not met | Proceed only after both teams confirm Phase 3.2 output sufficient => Allowed","Hard dependency on Phase 3.2 enforced.","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.3_Certificates.md"
