"Test Case ID","Work Item Type","Title","Workstream","Phase","Priority","Category/Tag","Test Step","Step Action","Step Expected Result","Suite File"
"","","","","","","","2","Confirm `#temp_member_search` is session-scoped (single `#`)","Yes — no global/permanent table impact",""
"","","","","","","","3","Run with read-only credentials","Succeeds; no write to base tables",""
"TC-SQL-08","Test Case","Re-run yields identical count","WS1","SQL","P1","Repeatability","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","Run twice in succession for GOLD","Identical counts (barring real-time enrollment changes)",""
"","","","","","","","2","Confirm `DROP TABLE IF EXISTS` makes the script safely re-runnable in one session","No ""object exists"" error on re-run",""
"TC-SQL-09","Test Case","Instructions are followable","WS1","SQL","P1","Usability/Doc","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","Follow header instructions (replace gid, run on PROD, new-client note)","Clear and sufficient",""
"","","","","","","","2","Note: header says ""Replace 'purchaser_gid'"" but code hardcodes `p.purchaser_gid = 86319`","**Defect**: instruction/code mismatch — the literal to replace is the numeric value, not a placeholder named `purchaser_gid`",""
"TC-SQL-10","Test Case","Runs within acceptable window on PROD","WS1","SQL","P1","Performance sanity","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_SQL_ClientMemCount.md"
"","","","","","","","1","Time execution for a large (Tier 1) client","Completes within agreed window; no PROD impact",""
"","","","","","","","2","Confirm no table locks/blocking on base tables","Read-only, minimal footprint",""
"TC-P2-01","Test Case","ServiceNow navigation path is correct","WS1","2","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"","","","","","","","1","Service Catalog → ""Are you requesting something new?"" → Infrastructure Request","Form opens",""
"","","","","","","","2","Type of Request = ""Cloud Request""","Selected",""
"","","","","","","","3","Cloud Provider = ""AWS""","Selected",""
"","","","","","","","4","Short Description = ""AWS Accounts Request""","Entered",""
"TC-P2-02","Test Case","All REF[] placeholders replaced with Env Variables values","WS1","2","P2","CRITICAL — Data","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"","","","","","","","1","Paste the 11-row request table into Additional Comments","Table present",""
"","","","","","","","2","Replace each REF[] (AWS Accounts, Cost Center, Environment, Environment Prefix, Primary Owner, Secondary Owner, Support Group, Account Type, Application (CMDB), ATG, New/Existing role)","All replaced",""
"","","","","","","","3","Search the comment for the literal string ""REF[""","Zero matches",""
"TC-P2-03","Test Case","AWS Accounts / Environment / Environment Prefix expanded as separate columns","WS1","2","P2","Multi-value fields","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"","","","","","","","1","Identify DEV/QAR/PROD/HFX values for AWS Accounts, Environment, Environment Prefix","All values listed",""
"","","","","","","","2","Render each as its own column in the request table","Matches `aws-account-request-details.png` example",""
"TC-P2-04","Test Case","Ticket content matches Env Variables exactly","WS1","2","P2","Data validation","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"","","","","","","","1","Compare each ticket value to spreadsheet Column C–F","Character-for-character match",""
"","","","","","","","2","Confirm no extra/missing fields","All 11 keys present",""
"TC-P2-05","Test Case","Ticket submitted and routed to Cloud Infra","WS1","2","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"","","","","","","","1","Click ""Order Now""","Ticket created with a number",""
"","","","","","","","2","Confirm work routes to Cloud Infra (Erik / mgr Kenneth Holton)","Assignment correct",""
"","","","","","","","3","Record ticket number for Phase 2.1 reference","Captured",""
"TC-P2-06","Test Case","Phase 1 incomplete blocks Phase 2","WS1","2","P2","Negative","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"","","","","","","","1","Attempt Phase 2 with missing/blank Env Variables values","Cannot complete — REF[] values unavailable",""
"TC-P2-07","Test Case","Accounts created and documented post-resolution","WS1","2","P2","Handoff outcome","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"","","","","","","","1","After ticket Resolved, check Env Variables Column A filtered to ""AWS Account""","Account ID & IAM Role populated for all envs",""
"","","","","","","","2","Confirm accounts exist in AWS","Validated in Phase 2.1",""
"TC-P2-08","Test Case","Links, image, and Jira-vs-ServiceNow note","WS1","2","P2","Static","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02_RequestAWSAccounts.md"
"","","","","","","","1","Confirm `aws-account-request-details.png` present","Exists",""
"","","","","","","","2","Follow Env Variables link","Resolves",""
"","","","","","","","3","Note: playbook states ServiceNow is preferred over Jira going forward","Operator uses ServiceNow (not the legacy Jira backlog)",""
"TC-P2.1-01","Test Case","SailPoint request for ""AWS Development"" role","WS1","2.1","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","Open DQ SailPoint (Okta tile) → Request Center","Request Center loads",""
"","","","","","","","2","Search ""AWS Development"" role","Role found",""
"","","","","","","","3","Add comment with Tenant Name + Phase 2 ticket number/link","Comment saved",""
"","","","","","","","4","Submit request","Request submitted; pending approval",""
"TC-P2.1-02","Test Case","Wrong/ambiguous role selection is caught","WS1","2.1","P2","Negative","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","Search roles; observe unclear names","Ambiguity reproduced",""
"","","","","","","","2","Escalate to InfoSec (Jamie Smith) per documented resolution","""AWS Development"" confirmed as correct role",""
"TC-P2.1-03","Test Case","Login to AWS landing account via Okta Federation","WS1","2.1","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","After approval, open Okta → AWS Account Federation tile","Lands in default/landing account (NOT client account)",""
"","","","","","","","2","Confirm dev/qar/stage roles visible","Roles listed",""
"","","","","","","","3","Select a role (e.g., aws-oktaSSO-windward-devrole) → Sign in","AWS Console Home loads",""
"TC-P2.1-04","Test Case","PROD account may require separate InfoSec request","WS1","2.1","P2","Negative","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","Attempt to reach PROD role from landing page","If absent, operator contacts InfoSec for separate PROD account",""
"TC-P2.1-05","Test Case","Region pinned to us-east-1 before any action","WS1","2.1","P2","CRITICAL","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","Check region selector","Shows us-east-1 (or operator switches to it)",""
"","","","","","","","2","Proceed only after region confirmed","All subsequent validation in us-east-1",""
"TC-P2.1-06","Test Case","Switch Role into the client account","WS1","2.1","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","Top-right account dropdown → Switch Role","Switch Role form opens",""
"","","","","","","","2","Paste Account ID + IAM role from Env Variables for the target env","Values entered; optional fields blank",""
"","","","","","","","3","Click Switch Role","Top-right shows new client account name + ID",""
"TC-P2.1-07","Test Case","Account naming convention matches Env Variables","WS1","2.1","P2","Data/Naming validation, CRITICAL","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","Read account name shown in AWS top-right","Matches the expected generated name in Env Variables",""
"","","","","","","","2","Confirm Account ID = 12 digits and matches spreadsheet","Exact match",""
"","","","","","","","3","Confirm IAM role name matches the env (devrole/qarrole/etc.)","Exact match",""
"TC-P2.1-08","Test Case","Validate ALL environments (DEV, QAR, PROD, HFX)","WS1","2.1","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","For each of DEV, QAR, PROD, HFX: close console, re-open Federation tile, pick the env role, sign in","Lands in correct env landing",""
"","","","","","","","2","Repeat region check + switch role + naming validation (TC-05..07)","Each env validated",""
"","","","","","","","3","Confirm none missing","All four accounts exist & valid",""
"TC-P2.1-09","Test Case","Missing or mis-named account is detected and routed","WS1","2.1","P2","Negative","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","Encounter a missing account or wrong naming","Detected during validation",""
"","","","","","","","2","Follow documented escalation","Contact Cloud Infra (Erik/Lindsay) or InfoSec (Jamie Smith)",""
"TC-P2.1-10","Test Case","Screenshots & links present and current","WS1","2.1","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase02.1_TestAWSAccounts.md"
"","","","","","","","1","Confirm referenced images exist (aws-landing, console-home-page, us-east-1, switch-role-dropdown, accountid-iamrole, switch-success-2, account-confirm, aws-landing-qar)","All present",""
"","","","","","","","2","Follow Phase 2 / Env Variables links","Resolve correctly",""
"TC-P3-01","Test Case","User Story created with correct title, Tier-referenced description, links","WS1","3","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"","","","","","","","1","Create story in the client's Jira backlog","Story created",""
"","","","","","","","2","Title = ""Tenant AWS Provisioning - <Tenant Name>"" (from Env Variables)","Exact format, real tenant name (no `REF[]`)",""
"","","","","","","","3","Description references **Tier from Phase 1** and links: architecture folder, windward-1.0, windward-2.0, Env Variables, Costing.xls","All present and resolve",""
"","","","","","","","4","Acceptance Criteria matches playbook wording (server setup complete, names/IPs documented, validated)","Present",""
"","","","","","","","5","Assign to Cloud Infra (Erik / mgr David DiPerna)","Assigned",""
"TC-P3-02","Test Case","Wrong Tier referenced → wrong architecture sizing","WS1","3","P2","Negative","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"","","","","","","","1","Cross-check Tier in ticket vs Phase 1 Env Variables","Identical",""
"","","","","","","","2","Inject a mismatched Tier (e.g., Tier 2 for a Tier 3 client)","Caught in review before assignment",""
"TC-P3-03","Test Case","Validate per environment in DEV→QAR→PROD→HFX order","WS1","3","P2","Sequential order","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"","","","","","","","1","Validate DEV first","DEV validated before QAR appears",""
"","","","","","","","2","Proceed only after each env approved","Order preserved through HFX",""
"TC-P3-04","Test Case","All servers exist with correct naming per Env Variables","WS1","3","P2","CRITICAL — Naming","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"","","","","","","","1","AWS Console → EC2 → Instances (running)","Instance list loads",""
"","","","","","","","2","Compare running instances to the expected server list for the Tier (architecture + Env Variables tab)","Every expected server present",""
"","","","","","","","3","Verify each server name matches the naming convention exactly","All match",""
"","","","","","","","4","Confirm no missing and no unexpected extra servers","Set matches expected",""
"TC-P3-05","Test Case","Server names & IPs documented in Env Variables by Cloud Infra","WS1","3","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"","","","","","","","1","Open client tab in Env Variables","Server names + IPs populated",""
"","","","","","","","2","Cross-check against AWS console","Consistent",""
"TC-P3-06","Test Case","Missing component / wrong naming is logged and escalated","WS1","3","P2","Negative","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"","","","","","","","1","Encounter missing/misnamed server","Logged as issue",""
"","","","","","","","2","Escalate to Cloud Infra (Erik/Lindsay)","Routed correctly",""
"TC-P3-07","Test Case","Incomplete ""Connect to AWS server"" step","WS1","3","P2","Documentation defect","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03_Infrastructure.md"
"","","","","","","","1","Attempt to follow Step 2.3.d","No instructions present → cannot execute",""
"TC-P3.1-01","Test Case","Kerberos architecture documentation link is present and correct","WS1","3.1","P3","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.1_KerberosSetup.md"
"","","","","","","","1","Confirm Description includes the `/architecture/kerberos-setup` link (not just generic arch)","Present & resolves",""
"TC-P3.1-02","Test Case","Kerberos configured AND validated by Kerberos Team","WS1","3.1","P3","Hand-off outcome","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.1_KerberosSetup.md"
"","","","","","","","1","Await Jira ticket → Done or completion comment","Kerberos Team confirms configured + validated",""
"","","","","","","","2","Confirm all three Outputs evidenced (ticket w/ link & assignment; configured; validated)","Yes",""
"TC-P3.2-01","Test Case","LB, alias, and listener details documented in Env Variables","WS1","3.2","P3","Data","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"","","","","","","","1","After setup, inspect client tab for load balancer, alias, listener entries","All present, accurate, complete",""
"","","","","","","","2","Both Infra and App & Network teams confirm sufficiency for Phase 3.3","Confirmed",""
"TC-P3.2-02","Test Case","DNS CNAME configured for ALL servers and load balancers","WS1","3.2","P3","CRITICAL","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"","","","","","","","1","Enumerate every server + LB requiring an alias","Complete list",""
"","","","","","","","2","Confirm a CNAME exists and resolves for each","All resolve to correct target",""
"","","","","","","","3","Confirm branded/user-friendly names map correctly (not raw AWS endpoints)","Correct mapping",""
"TC-P3.2-03","Test Case","DNS change connectivity issue is handled","WS1","3.2","P3","Negative / rollback","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"","","","","","","","1","Simulate/observe a bad CNAME or timing issue","Connectivity issue detected",""
"","","","","","","","2","App & Network Team investigates and rolls back if needed","Rollback path works (per Common Issues)",""
"TC-P3.2-04","Test Case","DNS CNAME change submitted via ServiceNow","WS1","3.2","P3","Change control","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.2_LoadBalancers.md"
"","","","","","","","1","Confirm DNS CNAME change went through a ServiceNow Change Request","CR exists; approver = Steven DePietro",""
"TC-P3.3-01","Test Case","Cert work blocked until LB/alias details confirmed","WS1","3.3","P2","Dependency gate","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.3_Certificates.md"
"","","","","","","","1","Attempt cert setup with LB/alias details missing/incomplete","Blocked — prerequisite not met",""
"","","","","","","","2","Proceed only after both teams confirm Phase 3.2 output sufficient","Allowed",""
"TC-P3.3-02","Test Case","Certificates valid, trusted, and correctly bound","WS1","3.3","P2","CRITICAL — Security","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.3_Certificates.md"
"","","","","","","","1","After application, browse each HTTPS endpoint / inspect cert","Valid chain, trusted CA, not expired",""
"","","","","","","","2","Confirm CN/SAN matches the DNS alias/hostname","Match (no name mismatch)",""
"","","","","","","","3","Confirm cert applied to all servers and load balancers in scope","All covered",""
"","","","","","","","4","Confirm HTTPS/TLS negotiated (encrypted in transit)","Secure connection established",""
"TC-P3.3-03","Test Case","CSR & renewal process documented/followed","WS1","3.3","P2","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.3_Certificates.md"
"","","","","","","","1","Confirm CSR generated per documented steps (PowerShell script) and ServiceNow request used to attach","Followed",""
"","","","","","","","2","Confirm renewal/expiry tracking exists","Renewal plan documented (avoids future outage)",""
"TC-P3.4-01","Test Case","IT Intake submitted only when required","WS1","3.4","P1","CRITICAL — Decision table","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"","","","","","","","1","New project; InfoSec not yet engaged","**Submit** IT Intake",""
"","","","","","","","2","Project restarted after a multi-month pause; resources may be re-assigned","**Submit** IT Intake (re-allocate)",""
"","","","","","","","3","Project active; InfoSec currently allocated & engaged","**Skip** to Step 2",""
"","","","","","","","4","New client within a running project, no InfoSec gap","**Skip** to Step 2",""
"TC-P3.4-02","Test Case","IT Intake form completed correctly (when submitted)","WS1","3.4","P1","","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"","","","","","","","1","Initiative Type = ""Project""","Selected",""
"","","","","","","","2","Subject = ""InfoSec Security Controls Setup - <Tenant Name>"" (real name, no `REF[]`)","Correct",""
"","","","","","","","3","Reported By + email completed","Present",""
"","","","","","","","4","Additional Details include Env Variables + InfoSec Requirements links","Both resolve",""
"","","","","","","","5","Submit; capture ticket number","Number saved/tracked",""
"","","","","","","","6","Notify InfoSec team with ticket number (email/Teams)","Notification sent",""
"TC-P3.4-03","Test Case","Server/IP/LB details present before intake","WS1","3.4","P1","Prereq data","","","","test-cases/WS1-Core-Infra-DB-Deploy/TC_Phase03.4_Infrastructure_Security.md"
"","","","","","","","1","Confirm Env Variables has servers, IPs, load balancers, components","Complete",""
"","","","","","","","2","If missing → contact Cloud Infra before submitting","Gap routed",""
