Title,Step Action,Step Expected Result
GD_AmazonConnect_ValidateTenantAlignment,Confirm that the Amazon Connect instance is provisioned under the correct AWS account and region for the target tenant,Amazon Connect instance exists in us-east-1 under the correct tenant account
,Verify that the Evolt CX dependency for Amazon Connect has been provisioned and is reachable,Evolt CX endpoints are accessible and respond to health checks
,Confirm that call routing in Amazon Connect is configured for the new tenant with correct queue and flow definitions,Amazon Connect contact flows route calls to the correct tenant queues with no misrouted calls during test
GD_AmazonConnect_ValidateIntegrationWithWindward,Place a test call through Amazon Connect and verify that the call context (caller ID / member ID) is passed to the Windward application,Windward receives the call context data and can display the correct member record
,Confirm that CTI screen-pop functionality works for an inbound call in the test environment,Screen-pop displays the correct member information within the documented SLA time
,Verify that call wrap-up data is written back to the Windward database after call completion,Call record is created in the Windward database with the correct disposition and duration
GD_BizTalk_ValidateEndpointDesign,Confirm that the BizTalk EDI endpoint design document identifies all inbound and outbound EDI transaction sets for the new tenant,All required EDI transaction sets (837, 835, 270/271, etc.) are listed with direction and trading partner
,Review the on-prem vs cloud EDI strategy decision and confirm it is documented with a clear recommendation,Strategy document exists with a chosen approach and associated risks
,Verify that the BizTalk receive and send port configurations are templated and repeatable for a new tenant onboarding,Port configuration template exists and can be applied without manual customization per tenant
GD_BizTalk_ValidateEDITransactionFlow,Send a test EDI 837 transaction through the BizTalk pipeline and confirm it is processed without errors,837 message processes successfully and a corresponding record is created in the Windward claims database
,Send a test EDI 270 eligibility inquiry and confirm a valid 271 response is returned,271 response is returned within the documented SLA and contains correct eligibility data
,Confirm that EDI transaction failures are routed to the BizTalk suspended message queue and alerted,Failed messages appear in the suspended queue and an alert is generated within the expected time
GD_CitrixLB_ValidateALBNLBReplacement,Confirm that the Citrix Load Balancer has been replaced by AWS ALB (for HTTP/HTTPS) and AWS NLB (for TCP) for the Windward 1.0 tier,AWS ALB and NLB are created and configured; Citrix LB is no longer in the traffic path
,Verify that ALB listener rules route requests to the correct Windward Web target group,HTTP/HTTPS requests reach the correct Windward Web servers as confirmed by access logs
,Verify that NLB routes TCP traffic to the correct Windward App server target group,TCP connections reach the correct Windward App servers as confirmed by connection logs
GD_CitrixLB_ValidateDNSStrategy,Confirm that DNS records (Route 53 or on-prem DNS) resolve the Windward application hostname to the correct ALB/NLB endpoint,nslookup or dig against the Windward hostname returns the correct ALB/NLB DNS name
,Verify that the DNS TTL values are set appropriately to support failover without long propagation delays,DNS TTL is set to the value documented in the DNS strategy; failover DNS change propagates within that TTL
,Confirm that split-horizon DNS is configured correctly if on-prem and cloud DNS are both in use,On-prem clients resolve to the on-prem endpoint; cloud clients resolve to the AWS endpoint
GD_CitrixVDI_ValidateLatencyBaseline,Document the baseline latency from the VDI environment (Citrix NetScaler) to the Windward 1.0 application servers,Baseline latency measurements are recorded in milliseconds from VDI endpoint to Windward Web server
,Compare VDI-to-cloud latency against the documented acceptable threshold,Measured latency is at or below the documented threshold (e.g. < 50 ms round-trip)
,Confirm that VDI users can log into Windward 1.0 via the cloud-hosted path without session timeouts during the latency test,VDI session remains stable for the duration of the 15-minute sustained latency test with no disconnections
GD_BIReporting_ValidatePowerBIDataPlatform,Confirm that the Power BI data platform connection is configured to point to the correct read-only replica for the new tenant,Power BI data source connection string targets the read-only replica endpoint and not the primary
,Run a sample Power BI report and verify that data returns correctly for the new tenant,Report renders with correct tenant data and row counts match the source database
,Confirm that the BI Enterprise Reporting module is accessible to authorized users in the new tenant,Authorized users can log in to the BI reporting portal and view tenant-specific reports; no cross-tenant data is visible
GD_BIReporting_ValidateDataRefreshSchedule,Confirm that the Power BI dataset refresh schedule is configured and active for the new tenant,Dataset refresh schedule is visible in Power BI Service and shows last successful refresh timestamp
,Trigger a manual refresh and verify it completes without error,Manual refresh completes within the documented time window with no failures
,Verify that the refresh failure alerting is configured and sends notification to the correct distribution list,Simulated refresh failure generates an alert to the documented recipients within 15 minutes
GD_Delphix_ValidateDeMasking,Confirm that the Delphix de-identification process has been executed for the new tenant data set prior to use in non-production environments,Delphix job completion record exists and shows successful masking of all sensitive columns
,Spot-check a sample of masked records and verify that PII fields (SSN, DOB, name) are replaced with synthetic data,Selected records show masked values in PII columns; no real PII is present in the non-production copy
,Confirm that the masked data set is functionally valid for use by the Windward application,Windward application can load and display masked member records without errors
GD_Delphix_ValidateMaskingScope,Review the Delphix masking ruleset and confirm all tables containing PHI/PII are included in the masking definition,Masking ruleset covers all tables identified in the data classification inventory
,Confirm that referential integrity is maintained after masking (foreign keys between masked tables remain valid),Database integrity check passes on the masked dataset; no orphaned foreign key references
,Verify that the Delphix process can be re-run repeatably for future tenant data refreshes,Re-run of the Delphix job on a refreshed data set completes successfully and produces a newly masked copy
GD_ElectronicEligibility_ValidateAPIChoice,Confirm that the Electronic Eligibility (EE) vs Member API data flow decision is documented and the chosen integration path is defined for the new tenant,Decision document exists specifying whether EE or Member API is used and the rationale
,Verify that the chosen API endpoint is reachable from the Windward application server,API health check returns HTTP 200 from the Windward App server to the chosen eligibility endpoint
,Confirm that eligibility inquiry responses are returned within the documented SLA,Test eligibility query returns a valid response within the documented time (e.g. < 3 seconds)
GD_ElectronicEligibility_ValidateDataFlow,Submit a test eligibility inquiry for a known member and verify the response contains correct coverage information,Response contains correct plan, group, and eligibility dates matching the source system record
,Confirm that the EE transaction is logged in the Windward database with the correct status,Eligibility transaction log record exists with member ID, query timestamp, and response status
,Verify that a failed eligibility response is handled gracefully by the Windward application,Application displays a user-friendly error message and does not crash when eligibility service is unavailable
GD_CloudMgmtGateway_ValidateVDIAccess,Confirm that the Cloud Management Gateway (CMG) is configured to allow VDI-based access to the Windward 1.0 application,CMG configuration document shows Windward 1.0 as an approved application accessible via VDI
,Log into the Windward 1.0 application through the VDI session using a test account,Login succeeds and the Windward home screen loads within the acceptable latency threshold
,Confirm that clipboard and file transfer policies are enforced within the VDI session per InfoSec requirements,VDI session enforces data transfer restrictions; clipboard paste from local to VDI is blocked if required by policy
GD_InfoSec_ValidateIAMRoleProvisioning,Confirm that IAM roles for the new tenant are provisioned following the documented tenant-based security model,IAM roles exist in the correct AWS account with the documented permission boundaries
,Verify that cross-tenant IAM access is not possible by testing role assumption from one tenant account to another,Attempt to assume a role from a different tenant account returns AccessDenied
,Confirm that IAM roles are tagged with the correct tenant identifier,All tenant IAM roles have a Tenant tag matching the client name
GD_InfoSec_ValidateTenantSecurityIsolation,Confirm that all AWS resources for the new tenant are tagged with the tenant identifier and reside within the tenant VPC,All EC2, RDS, and Lambda resources are tagged correctly and are within the designated tenant VPC
,Verify that VPC security groups do not allow inbound access from other tenant VPCs,Security group rules for the tenant VPC have no inbound rules referencing CIDR ranges of other tenant VPCs
,Confirm that network ACLs enforce the documented ingress and egress rules for the tenant VPC,Network ACL rules match the documented firewall policy for the tenant tier
GD_InfoSec_ValidateMonitoringAndAlerts,Confirm that CloudWatch log groups are created for all Windward application tiers and are actively receiving logs,CloudWatch log groups exist for Web, App, and DB tiers; log streams show recent entries
,Verify that Exabeam is receiving log events from all Windward servers in the new tenant environment,Exabeam shows active log sources for each Windward server; no source is in a stale state
,Confirm that a test alert (simulated login failure spike) triggers within the expected detection window,Simulated brute-force event generates an Exabeam alert within the documented SLA
GD_Okta_ValidateOAGInstanceInAWS,Confirm that the Okta Access Gateway (OAG) instance is deployed in the AWS environment for the new tenant,OAG instance is running in the correct AWS account and is reachable from Windward application servers
,Verify that the Windward application SSO flow redirects to Okta and returns a valid SAML assertion,Initiating login from Windward redirects to the Okta login page; successful authentication returns SAML assertion to Windward
,Confirm that the Okta application assignment for Windward is scoped to the correct user groups for the new tenant,Only users in the designated Okta groups can access the Windward application; unauthorized users receive an access denied response
GD_Okta_ValidateFastpassAuthenticator,Confirm that Okta Fastpass is configured as a phishing-resistant authenticator for Windward users,Okta policy for the Windward application requires Fastpass or FIDO2; password-only login is blocked
,Enroll a test user with Okta Fastpass and authenticate to the Windward application,Test user completes Fastpass enrollment and successfully authenticates to Windward without entering a password
,Attempt to authenticate with a phishing-simulated credential and confirm Fastpass blocks the attempt,Fastpass rejects the simulated phishing credential and does not grant access
GD_DLP_ValidateFingerprintingForNewTenant,Confirm that a DLP fingerprint has been created for the new tenant data set prior to going live,DLP fingerprint record exists in the DLP management console for the new tenant
,Verify that the DLP fingerprint is associated with the correct business unit and data classification level,Fingerprint metadata shows the correct tenant name, business unit, and sensitivity level
,Confirm that a test document containing synthetic tenant data is detected by DLP scanning,DLP scan flags the test document as a policy violation; the alert is routed to the correct DLP admin queue
GD_SQLClustering_ValidateCluster1,Confirm that SQL Cluster 1 (SQL01 + SQL02) is provisioned with the correct Windows Server Failover Clustering (WSFC) configuration,Failover Cluster Manager shows SQL01 and SQL02 as cluster nodes in an online state
,Verify that Cluster 1 has the correct number of listener IPs configured (2 listeners as per design),Two cluster listeners are created with the documented IP addresses and port 1433
,Confirm that a manual failover of Cluster 1 from SQL01 to SQL02 completes within the documented RTO,Failover completes within the documented time; SQL02 becomes the active node and applications reconnect automatically
GD_SQLClustering_ValidateCluster2,Confirm that SQL Cluster 2 (SQL03 + SQL04) is provisioned with the correct WSFC configuration,Failover Cluster Manager shows SQL03 and SQL04 as cluster nodes in an online state
,Verify that Cluster 2 has the correct number of listener IPs configured (2 listeners as per design),Two cluster listeners are created with the documented IP addresses and port 1433
,Confirm that a manual failover of Cluster 2 from SQL03 to SQL04 completes within the documented RTO,Failover completes within the documented time; SQL04 becomes the active node and applications reconnect automatically
GD_SecurityTools_ValidateInstallationOrder,Confirm that the documented security tool installation order is followed: Beyond Trust → SentinelOne → Qualys → Imperva → Forcepoint → Exabeam (and Illumio last for DB servers),Build runbook shows each tool installed in the correct sequence with timestamps recorded
,Verify that each security tool is active and reporting after installation by checking its management console,Management console for each tool shows the server as online and reporting within 15 minutes of installation
,Confirm that installing the tools in a different order causes a known dependency failure by reviewing the documented rationale,Dependency chain documentation explains why order matters (e.g. Beyond Trust must be installed before EDR enrollment)
GD_SecurityTools_ValidateBeyondTrustAccess,Confirm that Beyond Trust Privilege Access Management (PAM) is configured for all Windward servers in the new tenant,Beyond Trust console shows all Windward servers registered with the correct asset group and tenant tag
,Verify that an administrator can access a Windward server via Beyond Trust without requiring direct RDP credentials,Beyond Trust session checkout succeeds and RDP session opens without exposing raw credentials to the user
,Confirm that Beyond Trust session recording is enabled for all server access in the new tenant,Session recording is active; a recorded session playback is available within 5 minutes of session end
GD_ServerAliases_ValidateRequiredAliases,Confirm that all required server aliases (DNS CNAMEs or hosts file entries) are created before application deployment begins,All aliases listed in the server alias runbook resolve to the correct IP addresses from the Windward App servers
,Verify that the Windward application can connect to each dependent service using the alias name rather than the raw server name,Application configuration files reference alias names; connectivity tests using the alias succeed for each service
,Confirm that removing or changing an alias causes a documented and detectable failure mode,Alias dependency is documented; removal of a test alias causes the expected connection failure in the application log
GD_CorrespondenceRouter_ValidateArchitecture,Confirm that the Correspondence Router service is deployed and reachable from the Windward application server,Correspondence Router health endpoint returns HTTP 200 from the Windward App server
,Submit a test correspondence request to the Correspondence Router and verify it is routed to the correct output channel (print / email / portal),Test request is processed and the correspondence appears in the correct output channel within the documented SLA
,Confirm that the Correspondence Router logs all routing decisions for the new tenant,Routing log contains an entry for the test request with correct tenant ID, document type, and output channel
GD_Terraform_ValidateRepeatabilityForNewTenant,Confirm that Terraform scripts for tenant provisioning are version-controlled and available in the project repository,Terraform modules exist in the repository with documented input variables for tenant-specific values
,Run a Terraform plan against a new tenant variable file and confirm no errors are reported,Terraform plan output shows the expected resources to be created with no warnings or errors
,Apply the Terraform plan to a sandbox environment and confirm all documented resources are created,Terraform apply completes successfully; all resources (EC2, SG, IAM roles, listeners) exist in the sandbox account
