Title,Step Action,Step Expected Result
E2E_IntegrationAPI_ExternalRequestToData,Send a test HTTP request to the Integration API endpoint for the target tenant with a valid payload,Integration API returns HTTP 200 and a valid response body
,Confirm the Integration API processes the request and routes it through the internal pipeline,Integration API log shows the request received and forwarded to the appropriate internal service
,Verify the data from the request is written to the correct target (Data Tier SQL or Repository / CDM),Target data store contains a new or updated record matching the Integration API request payload
,Query the target data store to confirm field-level accuracy,All fields in the target record match the corresponding fields in the Integration API request payload
,Confirm the Integration API test suite (Integration API Tests component) passes all assertions for this flow,Integration API test suite run returns 0 failures for the end-to-end flow scenario
E2E_MemberBenefitInquiry_PortalToDatabase,Authenticate to the Provider Portal and navigate to the Member Benefits page for a known test member,Member Benefits page loads and displays the member's plan information
,Confirm the BFF API routes the benefits inquiry to the Web Tier and then to the Data Tier,BFF and Web Tier logs show the benefits inquiry request for the correct member ID
,Verify the Data Tier retrieves the member benefit record from the SQL database,SQL query against the member benefit tables returns data for the test member
,Confirm the Member Benefit Service (NextGen MBS) is called if member benefit data is sourced from NextGen,MBS log shows an outbound request and a successful response for the test member
,Verify the benefits data rendered on the portal matches the source database record,Portal member benefits page shows matching plan, copay, deductible, and out-of-pocket values from SQL
E2E_FullLoginToClaimAudit,Authenticate to the Provider Portal and confirm Okta SSO login completes and OAG session is established,Portal home screen loads; Okta session is active and the OAG token is issued
,Navigate to the Claim Audit page via the Operations sidebar,Claim Audit page loads with all filter and date range fields
,Enter a claim ID for a known audited claim and submit,Claim Audit results return within 5 seconds
,Confirm the BFF API routes the audit request through the Web Tier to the Data Tier,BFF and Web Tier logs show the claim audit request with the correct claim ID
,Verify the audit trail displayed on the page matches the audit records in the SQL database,All audit event timestamps and user IDs displayed match the SQL audit log table records
E2E_PortalToDatabase_SubGroupDrilldown,Authenticate to the Provider Portal and navigate to the Group Info section for a known group,Group Info page loads and the group record is displayed
,Click into a SubGroup record from the group detail page,SubGroup detail page loads and displays plan and membership data for the selected SubGroup
,Confirm the BFF routes the SubGroup request through the Web Tier and Data Tier to SQL,BFF and Web Tier logs show the SubGroup drill-down request with the correct group and SubGroup IDs
,Verify the SubGroup data on the portal matches the SQL record,SQL query against the SubGroup tables returns the same plan, effective date, and member count shown on the portal
,Confirm that navigating back to the parent group from the SubGroup page works correctly,Browser back navigation or breadcrumb returns to the parent group detail page with data intact
E2E_ServerToServer_WW1WebToApp,Send a test request to the Windward Web Tier ALB endpoint and confirm it reaches the Web server,ALB access log shows the inbound request received on the correct listener
,Confirm the Web server processes the request and calls the App Tier via the NLB,Web server application log shows an outbound call to the NLB endpoint; NLB routes to an App server
,Verify the App server receives the request and queries the SQL primary database,App server log shows the database query executed against the correct SQL listener
,Confirm the SQL database returns results and the App server passes them back through the NLB to the Web server,Response chain is complete; Web server receives data from App server
,Verify the Web server returns the final HTTP response to the originating ALB client with the correct payload,ALB response log shows HTTP 200; response body contains the expected data payload
