Title,Step Action,Step Expected Result
,Confirm all deployment tickets have a status of Done or Resolved,No open deployment tickets remain; all are marked complete
P5_ValidateApplicationServersRunning,Log into AWS via Okta Tile and switch to the DEV environment,AWS console is accessible for DEV
,Navigate to EC2 and verify application server instances are in Running state,All application tier EC2 instances show Running state
,Confirm System Status Check and Instance Status Check are both passing (2/2) for each app server,No failed status checks on any application server instance
,Repeat for QAR and PROD environments,All application servers are running with passing status checks in all environments
P5_ValidateApplicationURLAccessibility_Playwright,Confirm the Playwright test suite is configured with the correct DEV base URL from the Environment Variables spreadsheet,Playwright environment file reflects the correct tenant DEV URL with no placeholder values
,Execute the existing Playwright smoke test suite targeting the DEV environment,Playwright run completes with all tests passing and no failures reported
,Review the Playwright test report and confirm URL accessibility tests pass for Windward Web / Payment Web / Configuration Web,All URL navigation tests show Pass status in the Playwright report
,Raise a Jira defect for any Playwright test that fails and block phase exit until resolved,All failures are logged in Jira with Blocker severity and assigned to the Application Services Team
,Reconfigure Playwright with the QAR base URL and repeat execution; then repeat for PROD,Playwright suite passes for QAR and PROD with no failures
P5_ValidateApplicationHealthEndpoints_Playwright,Confirm the Playwright test suite health-check tests are included in the suite and configured for DEV,Health check test cases are present in the Playwright suite and pointing to the correct DEV environment
,Execute the Playwright suite and confirm health endpoint test cases pass (Windward Web / APIs),All health endpoint tests in the Playwright report show Pass with HTTP 200 responses
,Review Playwright output for any health endpoint returning an unexpected status or error,No health endpoint test failures exist in the report
,Reconfigure for QAR and PROD and re-execute; confirm all health tests pass,Health endpoint tests pass across all three environments
P5_ValidateLoadBalancerTargetHealth,Log into the AWS console and navigate to EC2 > Load Balancers for the DEV environment,Load Balancers list is displayed
,Select the Application Load Balancer and click the Target Groups tab,Target groups associated with the ALB are displayed
,Verify all registered targets show a status of healthy,No targets are listed as unhealthy or draining
,Repeat target health verification for QAR and PROD environments,All load balancer targets are healthy across all environments
P5_ValidateDatabaseConnectivityFromApp,Review CloudWatch Logs for the Windward Web application in DEV and confirm no database connection errors exist in startup logs,No database connection errors are present in the startup logs
,Execute the Playwright suite and confirm any UI tests that perform a database-driven action (e.g. member search or claim lookup) pass successfully,Playwright tests that require a live database query all show Pass in the test report
,Manually verify that application connection strings point to the correct tenant database server as documented in the Environment Variables spreadsheet,Connection strings in application settings match the database server names from the spreadsheet
,Repeat CloudWatch log review and Playwright DB-driven test execution for QAR and PROD,No database connectivity errors in logs and Playwright DB tests pass across all environments
P6_ValidateMemberDomainAWSDependencies,Log into the AWS console for the DEV account and verify an OpenSearch domain exists for the tenant,OpenSearch domain is present and in Active status
,Navigate to KMS and confirm customer-managed KMS keys required for DynamoDB are created,KMS keys exist and are enabled
,Navigate to DynamoDB and confirm required tables are present,DynamoDB tables are created and in Active status
,Confirm SQS queues are configured and the SQS HTTP endpoint and ARN are documented,SQS queues exist and endpoint details have been provided by the CE team
P6_ValidateMemberDomainServiceDeployment,Navigate to Azure DevOps and locate the Member Domain Service release pipeline,Pipeline is accessible
,Confirm the most recent pipeline run completed successfully with no failed tasks,Pipeline run shows Succeeded status with no task failures
,Review the pipeline variables and confirm tenant-specific values were used (not placeholder or dummy values),All pipeline variables contain real tenant values
,Check CloudWatch Logs for the Member Domain Service in DEV and confirm no critical errors on startup,Startup logs show no critical errors or exceptions
P6_ValidateMemberDomainServiceHealth_Postman,Configure the Postman environment file for the Member Domain Service with the tenant DEV base URL and required credentials,Postman environment variables are set with real tenant values and no placeholders remain
,Execute the existing Member Domain Service Postman collection against the DEV environment,Postman collection run completes with all requests returning expected responses and all assertions passing
,Review the Postman run results and confirm health endpoint and S3 / SQS / OpenSearch connectivity assertions all pass,No assertion failures exist in the Postman results; all connectivity checks show pass
,Raise a Jira defect for any failed Postman assertion and block phase exit until resolved,All failures are logged in Jira and assigned to the responsible Domain Services Team member
,Reconfigure the Postman environment for QAR and repeat execution; then repeat for PROD,Postman collection passes for QAR and PROD with no failures
P6_1_ValidateClaimsDomainAWSDependencies,Log into the AWS console for the DEV account and verify KMS keys are present and enabled for Claims Domain DynamoDB tables,KMS keys exist and are in Enabled state
,Confirm DynamoDB tables required by Claims Domain Service are created and in Active status,All required DynamoDB tables are present and active
,Confirm OpenSearch domain is accessible by the Claims Domain Service,OpenSearch domain endpoint is reachable from the application tier
P6_1_ValidateClaimsDomainServiceDeployment,Navigate to Azure DevOps and locate all three Claims Domain Service release pipelines,All three pipeline definitions are accessible
,Confirm the most recent run for each of the three pipelines completed with Succeeded status,All three pipelines show Succeeded with no task failures
,Review pipeline variables for each pipeline and confirm real tenant values are in use (not dummy or placeholder values),All three pipelines use correct tenant-specific variable values
,Check CloudWatch Logs for the Claims Domain Service in DEV and confirm no critical errors on startup,Startup logs contain no critical errors or exceptions
P6_1_ValidateClaimsDomainServiceHealth_Postman,Configure the Postman environment file for the Claims Domain Service with the tenant DEV base URL and required credentials,Postman environment variables are set with real tenant values and no placeholders remain
,Execute the existing Claims Domain Service Postman collection against the DEV environment,Postman collection run completes with all requests returning expected responses
,Review the Postman results and confirm health endpoint and DynamoDB / OpenSearch / SQS connectivity assertions all pass,No assertion failures exist; all dependency connectivity checks show pass
,Raise a Jira defect for any failed Postman assertion and block phase exit until resolved,All failures are logged in Jira and assigned to the Domain Services Team
,Reconfigure the Postman environment for QAR and repeat execution; then repeat for PROD,Postman collection passes for QAR and PROD with no failures
P6_2_ValidateBusinessServiceDeployment,Navigate to Azure DevOps and locate the Business Service release pipeline,Pipeline is accessible
,Confirm the most recent pipeline run completed with Succeeded status and no task failures,Pipeline run shows Succeeded status
,Review pipeline variables and confirm database connection strings point to the correct tenant database servers,Connection string values match the database server names from the Environment Variables spreadsheet
,Check CloudWatch Logs for the Business Service in DEV and confirm no critical errors on startup,Startup logs contain no critical errors or exceptions
P6_2_ValidateBusinessServiceHealth_Postman,Configure the Postman environment file for the Business Service with the tenant DEV base URL and required credentials,Postman environment variables are set with real tenant values and no placeholders remain
,Execute the existing Business Service Postman collection against the DEV environment,Postman collection run completes with all requests returning expected responses
,Review the Postman results and confirm health endpoint and upstream/downstream service connectivity assertions all pass,No assertion failures exist; all service connectivity checks show pass
,Raise a Jira defect for any failed Postman assertion and block phase exit until resolved,All failures are logged in Jira and assigned to the Domain Services Team
,Reconfigure the Postman environment for QAR and repeat execution; then repeat for PROD,Postman collection passes for QAR and PROD with no failures
P6_3_ValidateDataPublisherConfiguration,Locate the deployed appsettings.json for the Data Publisher in DEV and open it,appsettings.json is accessible on the deployment target
,Confirm the BucketUrl value matches the S3 bucket URL provided by the CE team,BucketUrl is populated with the correct tenant-specific S3 bucket URL
,Confirm the AccessKey and SecretKey values are populated and match the credentials provided by the CE team,AccessKey and SecretKey are present and not placeholder values
,Confirm WindwardCoreDBConnection string points to the correct tenant Core database server,Connection string matches the Core DB server name from the Environment Variables spreadsheet
,Confirm LoggingDBConnection string points to the correct tenant Logging database server,Connection string matches the Logging DB server name from the Environment Variables spreadsheet
P6_3_ValidateDataPublisherDeployment,Navigate to Azure DevOps (or TFS) and locate the Data Publisher release pipeline,Pipeline definition is accessible
,Confirm the most recent pipeline run completed with Succeeded status and no task failures,Pipeline run shows Succeeded status
,Confirm the pipeline executed the PowerShell step that reads RouteInfo.json and injects values into appsettings.json,Pipeline logs show the RouteInfo.json read step completed without errors
,Check CloudWatch Logs for the Data Publisher in DEV and confirm no critical errors on startup,Startup logs contain no critical errors or exceptions
P6_3_ValidateDataPublisherS3Connectivity_Postman,Configure the Postman environment file for the Data Publisher with the tenant DEV base URL and S3 credentials (Bucket URL / Access Key / Secret Key),Postman environment variables are set with the correct tenant values from appsettings.json with no placeholders
,Execute the existing Data Publisher Postman collection against the DEV environment,Postman collection run completes with all requests returning expected responses
,Review the Postman results and confirm S3 write/read connectivity assertions and service health checks all pass,No assertion failures exist; S3 connectivity check shows pass and CDP credentials are confirmed active
,Raise a Jira defect for any failed Postman assertion and block phase exit until resolved,All failures are logged in Jira and assigned to the responsible team
,Reconfigure the Postman environment for QAR and repeat execution; then repeat for PROD,Postman collection passes for QAR and PROD with no failures
